"DataComandarii,Judet,Oras,Categorie,Produs,CantitateVanduta,PretUnitarPerReducere,PretUnitarVanzareFaraTaxe,TipTaxa,ValoareTaxe"
"2023-05-10,Bucuresti,Bucuresti,Electronice,Telefon Samsung Galaxy S20,2,2000,1800,TVA,0.74"
"2023-05-11,Cluj,Cluj-Napoca,Electronice,Laptop Dell XPS 15,1,4500,4000,TVA,0.31"
"2023-05-12,Iasi,Iasi,Electronice,Televizor LG OLED55C9,3,3000,2500,TVA,0.52"
"2023-05-10,Bucuresti,Bucuresti,Accesorii,Casti Wireless Sony WH-1000XM4,5,400,350,Fara_taxe,0.43"
"2023-05-11,Cluj,Cluj-Napoca,Accesorii,Mouse Gaming Logitech G502,2,150,120,Fara_taxe,0.65"
"2023-05-12,Constanta,Constanta,Electrocasnice,Masina de spalat Samsung,1,2000,1800,TVA,0.82"
"2023-05-13,Bucuresti,Bucuresti,Electronice,Smartwatch Apple Watch Series 6,4,1000,900,TVA,0.27"
"2023-05-14,Brasov,Brasov,Electronice,Boxa portabila JBL Flip 5,3,300,250,TVA,0.76"
"2023-01-05,Cluj,Cluj-Napoca,Electronice,Televizor LG OLED55C9,2,3500,3000,TVA,0.24"
"2023-02-12,Bucuresti,Bucuresti,Electronice,Telefon Samsung Galaxy S20,1,2500,2200,TVA,0.19"
"2023-03-20,Brasov,Brasov,Electrocasnice,Masina de spalat Samsung,3,1800,1500,Fara_taxe,0"
"2023-01-10,Timis,Timisoara,Electrocasnice,Aspirator Dyson V11,1,1200,1000,Fara_taxe,0"
"2023-02-05,Constanta,Constanta,Accesorii,Casti Wireless Sony WH-1000XM4,4,350,300,TVA,0.21"
"2023-03-15,Brasov,Brasov,Accesorii,Mouse Gaming Logitech G502,2,150,120,Fara_taxe,0"
"2023-02-20,Cluj,Cluj-Napoca,Electronice,Laptop Dell XPS 15,1,5000,4500,TVA,0.15"
"2023-03-01,Bucuresti,Bucuresti,Electronice,Smartwatch Apple Watch Series 6,3,1800,1500,TVA,0.27"
"2023-04-10,Iasi,Iasi,Electronice,Telefon Samsung Galaxy S20,2,2200,2000,TVA,0.18"
"2023-04-15,Timis,Timisoara,Electrocasnice,Frigider Arctic,1,1500,1200,Fara_taxe,0"
"2023-05-01,Bucuresti,Bucuresti,Electronice,Laptop Dell XPS 15,1,4800,4300,TVA,0.23"
"2023-05-05,Cluj,Cluj-Napoca,Accesorii,Casti Bluetooth JBL,4,200,180,Fara_taxe,0"
"2023-05-10,Constanta,Constanta,Electrocasnice,Cuptor Electric Hansa,2,800,650,TVA,0.15"
"2023-05-15,Iasi,Iasi,Electronice,Smart TV Samsung 55 inch,3,2500,2200,TVA,0.19"
"2023-06-01,Bucuresti,Bucuresti,Accesorii,Mouse Wireless Logitech,2,80,65,Fara_taxe,0"
"2023-07-10,Brasov,Brasov,Electronice,Televizor Sony Bravia,7,3000,2500,TVA,0.18"
"2023-07-15,Timis,Timisoara,Electronice,Telefon iPhone 13 Pro,1,5000,4500,TVA,0.21"
"2023-08-01,Bucuresti,Bucuresti,Electrocasnice,Masina de spalat Beko,3,1800,1500,Fara_taxe,0"
"2023-08-05,Cluj,Cluj-Napoca,Accesorii,Casti wireless Beats,7,350,300,TVA,0.15"
"2023-08-05,Constanta,Constanta,Electrocasnice,Aspirator Bosch,7,400,350,TVA,0.19"
"2023-09-05,Bucuresti,Bucuresti,Electronice,Laptop HP Spectre x360,7,4800,4300,TVA,0.23"
"2023-09-05,Iasi,Iasi,Accesorii,Mouse Gaming Razer,7,150,120,Fara_taxe,0"
"2023-05-10,Bucuresti,Bucuresti,Electronice,Telefon Samsung Galaxy S20,2,2000,1800,TVA,0.74"
"2023-05-10,Cluj,Cluj-Napoca,Electronice,Laptop Dell XPS 15,1,4500,4000,TVA,0.31"
"2023-05-11,Iasi,Iasi,Electronice,Televizor LG OLED55C9,3,3000,2500,TVA,0.52"
"2023-05-11,Bucuresti,Bucuresti,Accesorii,Casti Wireless Sony WH-1000XM4,5,400,350,Fara_taxe,0.43"
"2023-05-12,Cluj,Cluj-Napoca,Accesorii,Mouse Gaming Logitech G502,2,150,120,Fara_taxe,0.65"
"2023-05-12,Constanta,Constanta,Electrocasnice,Masina de spalat Samsung,1,2000,1800,TVA,0.82"
"2023-05-13,Bucuresti,Bucuresti,Electronice,Smartwatch Apple Watch Series 6,4,1000,900,TVA,0.27"
"2023-05-13,Brasov,Brasov,Electronice,Boxa portabila JBL Flip 5,3,300,250,TVA,0.76"
"2023-05-14,Iasi,Iasi,Electronice,Televizor LG OLED55C9,2,3500,3000,TVA,0.24"
"2023-05-14,Bucuresti,Bucuresti,Electronice,Telefon Samsung Galaxy S20,1,2500,2200,TVA,0.19"
"2023-05-15,Timis,Timisoara,Electrocasnice,Aspirator Dyson V11,1,1200,1000,Fara_taxe,0"
"2023-05-15,Constanta,Constanta,Accesorii,Casti Wireless Sony WH-1000XM4,4,350,300,TVA,0.21"
"2023-05-16,Brasov,Brasov,Accesorii,Mouse Gaming Logitech G502,2,150,120,Fara_taxe,0"
"2023-05-16,Cluj,Cluj-Napoca,Electronice,Laptop Dell XPS 15,1,5000,4500,TVA,0.15"
"2023-05-17,Bucuresti,Bucuresti,Electronice,Smartwatch Apple Watch Series 6,3,1800,1500,TVA,0.27"
"2023-05-17,Iasi,Iasi,Electronice,Telefon Samsung Galaxy S20,2,2200,2000,TVA,0.18"
